ref:gid;ref:inspire;natural;name;species:pl;species;url:crfop;denotation;protected;leaf_type
96038;PL.ZIPOP.1393.PP.2001011.1644;tree;Koropinia;Sosna zwyczajna; Pinus sylvestris;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2001011.1644;natural_monument;yes;needleleaved
96039;PL.ZIPOP.1393.PP.2001011.1648;tree;Korona;Sosna zwyczajna; Pinus sylvestris;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2001011.1648;natural_monument;yes;needleleaved
96040;PL.ZIPOP.1393.PP.2001011.1730;tree;;Jesion wyniosły ; Fraxinus excelsior;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2001011.1730;natural_monument;yes;broadleaved
96041;PL.ZIPOP.1393.PP.2001011.1764;tree;;Dąb szypułkowy ; Quercus robur;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2001011.1764;natural_monument;yes;broadleaved
96042;PL.ZIPOP.1393.PP.2001011.1856;tree;;Wiąz pospolity; Ulmus minor;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2001011.1856;natural_monument;yes;broadleaved
96043;PL.ZIPOP.1393.PP.2001011.1858;tree;;Sosna zwyczajna; Pinus sylvestris;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2001011.1858;natural_monument;yes;needleleaved
96044;PL.ZIPOP.1393.PP.2001011.1859;tree;;Jesion wyniosły ; Fraxinus excelsior;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2001011.1859;natural_monument;yes;broadleaved
96045;PL.ZIPOP.1393.PP.2001011.1860;tree;;Klon pospolity; Acer platanoides;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2001011.1860;natural_monument;yes;broadleaved
96046;PL.ZIPOP.1393.PP.2001011.1860;tree;;Klon pospolity; Acer platanoides;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2001011.1860;natural_monument;yes;broadleaved
96047;PL.ZIPOP.1393.PP.2001011.1860;tree;;Klon pospolity; Acer platanoides;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2001011.1860;natural_monument;yes;broadleaved
