wkt_geom;fid;protected;denotation;ref:gid;ref:INSPIRE;natural;name;species:pl;species;url:crfop
Point (12.33587435551152467 47.67420453766219879);4239;yes;natural_monument;70187;PL.ZIPOP.1393.PP.1211023.1598;tree;;brak danych;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1211023.1598
Point (12.33587435531677556 47.67420453471977027);4232;yes;natural_monument;70178;PL.ZIPOP.1393.PP.1211023.1598;tree;;brak danych;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1211023.1598
Point (12.33587435544870381 47.6742045356742139);4233;yes;natural_monument;70181;PL.ZIPOP.1393.PP.1211023.1598;tree;;brak danych;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1211023.1598
Point (12.33587435537051213 47.67420453515632062);4234;yes;natural_monument;70180;PL.ZIPOP.1393.PP.1211023.1598;tree;;brak danych;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1211023.1598
Point (12.33587435540214727 47.67420453672343683);4235;yes;natural_monument;70183;PL.ZIPOP.1393.PP.1211023.1598;tree;;brak danych;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1211023.1598
Point (12.33587416434190942 47.67420451630101041);4276;yes;natural_monument;70222;PL.ZIPOP.1393.PP.1211023.1608;tree;;Lipa;Tilia sp.;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1211023.1608
Point (12.33587416420084715 47.6742045173779232);4277;yes;natural_monument;70225;PL.ZIPOP.1393.PP.1211023.1608;tree;;Lipa;Tilia sp.;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1211023.1608
Point (12.33587416422603411 47.67420451698737338);4278;yes;natural_monument;70224;PL.ZIPOP.1393.PP.1211023.1608;tree;;Lipa;Tilia sp.;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1211023.1608
Point (12.33587416402920844 47.67420451846950158);4279;yes;natural_monument;70227;PL.ZIPOP.1393.PP.1211023.1608;tree;;Lipa;Tilia sp.;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1211023.1608
Point (12.33587439591418189 47.67420455438657712);4272;yes;natural_monument;70218;PL.ZIPOP.1393.PP.1211023.1604;tree;;Lipa drobnolistna;Tilia cordata;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1211023.1604
