wkt_geom,fid,protected,denotation,ref:gid,ref:INSPIRE,natural,name,species:pl,species,url:crfop
Point (12.33587775974735479 47.67420453832523464),4407,yes,natural_monument,70063,PL.ZIPOP.1393.PP.1210133.1383,inne,Staw Wierchomla,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210133.1383
Point (12.33587776042540973 47.67420453827933358),4408,yes,natural_monument,70062,PL.ZIPOP.1393.PP.1210133.1383,inne,Staw Wierchomla,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210133.1383
Point (12.33588038132380937 47.67420424715230354),4385,yes,natural_monument,70039,PL.ZIPOP.1393.PP.1210113.1355,inne,Czarna Młaka,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210113.1355
Point (12.33588038303563117 47.67420424617577623),4386,yes,natural_monument,70038,PL.ZIPOP.1393.PP.1210113.1355,inne,Czarna Młaka,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210113.1355
Point (12.33587987178584555 47.67420449379905989),4393,yes,natural_monument,70047,PL.ZIPOP.1393.PP.1210113.1364,inne,im. prof. Henryka Świdzińskiego,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210113.1364
Point (12.33586176527509615 47.67420731749358964),1129,yes,natural_monument,71726,PL.ZIPOP.1393.PP.1218052.2698,jaskinia,Lisia,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1218052.2698
Point (12.33586175698640552 47.67420731909994203),1130,yes,natural_monument,71725,PL.ZIPOP.1393.PP.1218052.2697,jaskinia,Mysiorowa Jama,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1218052.2697
Point (12.33587896209884249 47.67420968767263645),1356,yes,natural_monument,71187,PL.ZIPOP.1393.PP.1216092.2228,inne,Skała,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1216092.2228
Point (12.33587124383868883 47.67420648233290592),524,yes,natural_monument,210464,PL.ZIPOP.1393.PP.1207032.3015,inne,,,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1207032.3015
Point (12.33587125633331105 47.67420679877972844),521,yes,natural_monument,210463,PL.ZIPOP.1393.PP.1207032.3014,jaskinia,Grota Zbójnicka na Łopieniu,,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1207032.3014
Point (12.33587453310840409 47.67420462582624907),989,yes,natural_monument,70265,PL.ZIPOP.1393.PP.1211023.1613,inne,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1211023.1613
Point (12.3358640142986129 47.67421082971760882),3324,yes,natural_monument,68740,PL.ZIPOP.1393.PP.1206042.816,jaskinia,Jaskinia Nietoperzowa,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206042.816
Point (12.33586451911017434 47.6742094886137906),3390,yes,natural_monument,68812,PL.ZIPOP.1393.PP.1206072.456,jaskinia,Uroczysko Kryspinów,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206072.456
Point (12.3358838898983052 47.67420666086353265),3473,yes,natural_monument,68618,PL.ZIPOP.1393.PP.1205092.399,inne,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1205092.399
Point (12.33587151168834595 47.67420588540665705),3701,yes,natural_monument,69495,PL.ZIPOP.1393.PP.1207052.1151,inne,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1207052.1151
Point (12.33587123903499005 47.6742061345187409),3702,yes,natural_monument,69494,PL.ZIPOP.1393.PP.1207052.1149,wodospad,Spad,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1207052.1149
Point (12.33586929631656837 47.67420592669588331),3751,yes,natural_monument,69588,PL.ZIPOP.1393.PP.1207102.1190,inne,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1207102.1190
Point (12.33586446322146024 47.67421068274481399),3838,yes,natural_monument,69363,PL.ZIPOP.1393.PP.1206152.688,jaskinia,Wierzchowska Górna,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206152.688
Point (12.33587698652638309 47.67420542866744171),4188,yes,natural_monument,70133,PL.ZIPOP.1393.PP.1210163.1421,jar,Głęboki Jar,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210163.1421
