wkt_geom,fid,protected,denotation,ref:gid,ref:INSPIRE,natural,name,species:pl,species,url:crfop
Point (12.33587989368543703 47.67420478551441931),4524,yes,natural_monument,69920,PL.ZIPOP.1393.PP.1210073.1516,rock,Diabelski Kamień,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210073.1516
Point (12.33587989227402382 47.67420478540825002),4523,yes,natural_monument,69921,PL.ZIPOP.1393.PP.1210073.1516,rock,Diabelski Kamień,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210073.1516
Point (12.33586506859199261 47.67420702259329346),4624,yes,natural_monument,69720,PL.ZIPOP.1393.PP.1209082.1331,rock,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1209082.1331
Point (12.335869819846911 47.67420802457618123),4608,yes,natural_monument,69685,PL.ZIPOP.1393.PP.1209052.1293,rock,Kamień Grzyb,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1209052.1293
Point (12.33586538444319558 47.67420771586888151),4620,yes,natural_monument,69705,PL.ZIPOP.1393.PP.1209073.1315,rock,Diabelski Kamień,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1209073.1315
Point (12.33587004180181879 47.67420422087899823),1055,yes,natural_monument,70345,PL.ZIPOP.1393.PP.1211092.1560,rock,"Gęśle, Basy",brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1211092.1560
Point (12.33587002487909068 47.67420422130687285),1056,yes,natural_monument,70344,PL.ZIPOP.1393.PP.1211092.1560,rock,"Gęśle, Basy",brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1211092.1560
Point (12.33585927754015898 47.67420745745197763),1102,yes,natural_monument,71694,PL.ZIPOP.1393.PP.1218013.2693,rock,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1218013.2693
Point (12.33586051287936769 47.67420723867741117),1205,yes,natural_monument,71807,PL.ZIPOP.1393.PP.1218093.2648,rock,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1218093.2648
Point (12.33588239827571797 47.67420877984812932),1325,yes,natural_monument,71466,PL.ZIPOP.1393.PP.1216162.2215,rock,Ostry Kamień,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1216162.2215
