wkt_geom,fid,protected,denotation,ref:gid,ref:INSPIRE,natural,name,species:pl,species,url:crfop
Point (12.3358793999839822 47.67420443679660735),4391,yes,natural_monument,70045,PL.ZIPOP.1393.PP.1210113.1362,spring,Za Cerkwią,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210113.1362
Point (12.33587904835273363 47.67420416670120176),4392,yes,natural_monument,70044,PL.ZIPOP.1393.PP.1210113.1361,spring,Kazimierz,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210113.1361
Point (12.33588002706487252 47.67420455131627932),4394,yes,natural_monument,70046,PL.ZIPOP.1393.PP.1210113.1363,spring,Iwony,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210113.1363
Point (12.33587090483556103 47.67421271852210651),4560,yes,natural_monument,69629,PL.ZIPOP.1393.PP.1208072.1218,spring,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1208072.1218
Point (12.33586925291157321 47.67421239838205338),4556,yes,natural_monument,69625,PL.ZIPOP.1393.PP.1208062.1214,spring,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1208062.1214
Point (12.33587058593910513 47.67421292020874546),4557,yes,natural_monument,69628,PL.ZIPOP.1393.PP.1208072.1217,spring,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1208072.1217
Point (12.33586945609840235 47.67421297186328388),4558,yes,natural_monument,69627,PL.ZIPOP.1393.PP.1208072.1216,spring,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1208072.1216
Point (12.33586946524429351 47.67421296829386534),4559,yes,natural_monument,69630,PL.ZIPOP.1393.PP.1208072.1219,spring,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1208072.1219
Point (12.335870009114144 47.67421234338996072),4555,yes,natural_monument,69626,PL.ZIPOP.1393.PP.1208062.1215,spring,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1208062.1215
Point (12.33586222702795254 47.67420506819891557),1045,yes,natural_monument,70326,PL.ZIPOP.1393.PP.1211072.1543,spring,Źródło Wawrzyńca,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1211072.1543
Point (12.33586293418619917 47.67420433907819444),1048,yes,natural_monument,70327,PL.ZIPOP.1393.PP.1211072.1544,spring,Źródło Jacka,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1211072.1544
Point (12.33586493186866662 47.67420930823228531),1893,yes,natural_monument,72006,PL.ZIPOP.1393.PP.1261011.1090,spring,Źródło Świętojańskie,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1261011.1090
Point (12.3358790534981555 47.67420833644997913),215,yes,natural_monument,205477,PL.ZIPOP.1393.PP.1216022.2929,spring,Paweł,,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1216022.2929
Point (12.33587820944286229 47.67420483596386305),211,yes,natural_monument,205420,PL.ZIPOP.1393.PP.1210133.2924,spring,Źródło Jerzy,,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210133.2924
Point (12.3358649476681741 47.67421186382525633),759,yes,natural_monument,70569,PL.ZIPOP.1393.PP.1212062.1908,spring,Strusi,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1212062.1908
Point (12.33586553050303536 47.67421186248158449),752,yes,natural_monument,70560,PL.ZIPOP.1393.PP.1212062.1898,spring,Jordan,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1212062.1898
Point (12.33586237656551354 47.67421271624714763),767,yes,natural_monument,70578,PL.ZIPOP.1393.PP.1212073.1918,spring,Przy Czarnym Lesie,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1212073.1918
Point (12.3358648287836008 47.67421187148283224),760,yes,natural_monument,70568,PL.ZIPOP.1393.PP.1212062.1907,spring,Aleksandry,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1212062.1907
Point (12.33586506043065967 47.67421186292042279),762,yes,natural_monument,70570,PL.ZIPOP.1393.PP.1212062.1909,spring,Hydrografów,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1212062.1909
Point (12.33586688584953173 47.67420544712476982),871,yes,natural_monument,70419,PL.ZIPOP.1393.PP.1211123.1584,spring,Pociesznej Wody,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1211123.1584
Point (12.33586688733031167 47.67420544792451409),876,yes,natural_monument,70422,PL.ZIPOP.1393.PP.1211123.1584,spring,Pociesznej Wody,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1211123.1584
Point (12.33586688947439747 47.67420544831472995),878,yes,natural_monument,70424,PL.ZIPOP.1393.PP.1211123.1584,spring,Pociesznej Wody,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1211123.1584
Point (12.33586688909242568 47.67420544817307615),872,yes,natural_monument,70418,PL.ZIPOP.1393.PP.1211123.1584,spring,Pociesznej Wody,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1211123.1584
Point (12.33586688759246108 47.67420544823393413),873,yes,natural_monument,70421,PL.ZIPOP.1393.PP.1211123.1584,spring,Pociesznej Wody,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1211123.1584
Point (12.33586688755974237 47.67420544798846294),874,yes,natural_monument,70420,PL.ZIPOP.1393.PP.1211123.1584,spring,Pociesznej Wody,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1211123.1584
Point (12.33586688796962072 47.67420544771940172),875,yes,natural_monument,70423,PL.ZIPOP.1393.PP.1211123.1584,spring,Pociesznej Wody,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1211123.1584
Point (12.33586042399778293 47.67421102687691814),959,yes,natural_monument,70513,PL.ZIPOP.1393.PP.1212053.1895,spring,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1212053.1895
Point (12.33586408588387684 47.67421104601865522),3323,yes,natural_monument,68741,PL.ZIPOP.1393.PP.1206042.817,spring,Źródło Janusza,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206042.817
Point (12.335866590884633 47.67421105845688345),3302,yes,natural_monument,68704,PL.ZIPOP.1393.PP.1206032.547,spring,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206032.547
Point (12.33586270083904068 47.67420980783378326),3389,yes,natural_monument,68813,PL.ZIPOP.1393.PP.1206072.457,spring,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206072.457
Point (12.3358667978913239 47.67421229738743449),3765,yes,natural_monument,69604,PL.ZIPOP.1393.PP.1208053.1201,spring,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1208053.1201
Point (12.33586679111989426 47.67421227816311813),3766,yes,natural_monument,69603,PL.ZIPOP.1393.PP.1208053.1200,spring,Spod jabłonki,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1208053.1200
Point (12.33586709245295943 47.67421206004963352),3767,yes,natural_monument,69606,PL.ZIPOP.1393.PP.1208053.1203,spring,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1208053.1203
Point (12.33586678316193641 47.67421234013460918),3763,yes,natural_monument,69602,PL.ZIPOP.1393.PP.1208053.1199,spring,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1208053.1199
Point (12.33586685848590392 47.67421227473538181),3768,yes,natural_monument,69605,PL.ZIPOP.1393.PP.1208053.1202,spring,Spod młyna,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1208053.1202
