wkt_geom;gid;kodinspire;obiekt;nazwa;fop_id;gatunek;data_utwor;powierzchn;link
Point (18.68428080049404372 52.86947133805733756);37415;PL.ZIPOP.1393.PP.0401011.1;drzewo;Urszulka;78311;Lipa drobnolistna - Tilia cordata;2011-10-28;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0401011.1
Point (18.70003368581271985 52.88430233811408243);37416;PL.ZIPOP.1393.PP.0401011.6019;drzewo;;78312;Dąb - Quercus sp.;1960-11-10;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0401011.6019
Point (18.69891321500503523 52.88424473985645591);37417;PL.ZIPOP.1393.PP.0401011.6019;drzewo;;78312;Dąb - Quercus sp.;1960-11-10;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0401011.6019
Point (18.6977814772949209 52.88465344504916743);37418;PL.ZIPOP.1393.PP.0401011.6019;drzewo;;78312;Dąb - Quercus sp.;1960-11-10;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0401011.6019
Point (18.7024840642115926 52.88431326694681189);37419;PL.ZIPOP.1393.PP.0401011.6019;drzewo;;78312;Dąb - Quercus sp.;1960-11-10;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0401011.6019
Point (18.70259910749640753 52.88416365277271325);37420;PL.ZIPOP.1393.PP.0401011.6019;drzewo;;78312;Dąb - Quercus sp.;1960-11-10;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0401011.6019
Point (18.70548209778886317 52.88300740747360607);37421;PL.ZIPOP.1393.PP.0401011.6019;drzewo;;78312;Dąb - Quercus sp.;1960-11-10;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0401011.6019
Point (18.69647238498363961 52.8823137171369666);37422;PL.ZIPOP.1393.PP.0401011.6019;drzewo;;78312;Dąb - Quercus sp.;1960-11-10;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0401011.6019
Point (18.69603801741466498 52.88142281400117639);37423;PL.ZIPOP.1393.PP.0401011.6019;drzewo;;78312;Dąb - Quercus sp.;1960-11-10;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0401011.6019
Point (18.69585738383883822 52.88138431398888173);37424;PL.ZIPOP.1393.PP.0401011.6019;drzewo;;78312;Dąb - Quercus sp.;1960-11-10;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0401011.6019
Point (18.69703078721607881 52.88458498935547425);37425;PL.ZIPOP.1393.PP.0401011.6019;drzewo;;78312;Dąb - Quercus sp.;1960-11-10;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0401011.6019
Point (18.69740386029482693 52.8846572496000249);37426;PL.ZIPOP.1393.PP.0401011.6019;drzewo;;78312;Dąb - Quercus sp.;1960-11-10;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0401011.6019
