wkt_geom;gid;kodinspire;obiekt;nazwa;fop_id;gatunek;data_utwor;powierzchn;link
Point (19.90680724206379892 50.02132414107104097);209116;PL.ZIPOP.1393.PP.1261011.2950;drzewo;;116776;Dąb szypułkowy - Quercus robur;2018-11-20;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1261011.2950
Point (19.89493256432954027 50.00822293358582726);209115;PL.ZIPOP.1393.PP.1261011.2949;drzewo;;116775;Dąb szypułkowy - Quercus robur;2018-11-20;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1261011.2949
Point (19.92700327470394228 50.00989423705483716);209118;PL.ZIPOP.1393.PP.1261011.2952;drzewo;;116778;Grusza pospolita - Pyrus communis;2018-11-20;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1261011.2952
Point (19.90669487231314605 50.02139914961215084);209117;PL.ZIPOP.1393.PP.1261011.2951;drzewo;;116777;Dąb szypułkowy - Quercus robur;2018-11-20;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1261011.2951
Point (20.04549658321954553 50.07285896250219537);209120;PL.ZIPOP.1393.PP.1261011.2954;drzewo;;116780;Wiąz szypułkowy - Ulmus laevis (Ulmus pedenculata, Ulmus effusa);2018-11-20;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1261011.2954
Point (20.03904766933575843 50.01400030975452182);209119;PL.ZIPOP.1393.PP.1261011.2953;drzewo;;116779;Klon jawor (Jawor) - Acer pseudoplatanus;2018-11-20;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1261011.2953
Point (19.50515782230479189 49.85480112327625335);209138;PL.ZIPOP.1393.PP.1218093.2958;drzewo;;116792;Żywotnik olbrzymi - Thuja plicata (Thuja gigantea);2004-05-08;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1218093.2958
Point (19.51373941285404712 49.86965237762665737);209132;PL.ZIPOP.1393.PP.1218093.2660;drzewo;;86404;Lipa drobnolistna - Tilia cordata;1998-09-01;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1218093.2660
Point (20.92388120274029006 49.98909166584234498);209141;PL.ZIPOP.1393.PP.1263011.2469;drzewo;;86773;Klon jawor (Jawor) - Acer pseudoplatanus;1964-05-14;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1263011.2469
Point (20.92385512231105338 49.98903613309217775);209140;PL.ZIPOP.1393.PP.1263011.2469;drzewo;;86773;Klon jawor (Jawor) - Acer pseudoplatanus;1964-05-14;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1263011.2469
Point (20.92507170189238508 49.99097023560112518);209143;PL.ZIPOP.1393.PP.1263011.2469;drzewo;;86773;Klon jawor (Jawor) - Acer pseudoplatanus;1964-05-14;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1263011.2469
Point (20.92392815334367029 49.9891491018094456);209142;PL.ZIPOP.1393.PP.1263011.2469;drzewo;;86773;Klon jawor (Jawor) - Acer pseudoplatanus;1964-05-14;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1263011.2469
Point (20.9240975784687393 49.98939741557416738);209145;PL.ZIPOP.1393.PP.1263011.2469;drzewo;;86773;Klon jawor (Jawor) - Acer pseudoplatanus;1964-05-14;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1263011.2469
Point (20.92406304107901249 49.98932231832281303);209144;PL.ZIPOP.1393.PP.1263011.2469;drzewo;;86773;Klon jawor (Jawor) - Acer pseudoplatanus;1964-05-14;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1263011.2469
Point (20.92420825939675311 49.98953405316703424);209147;PL.ZIPOP.1393.PP.1263011.2469;drzewo;;86773;Klon jawor (Jawor) - Acer pseudoplatanus;1964-05-14;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1263011.2469
