wkt_geom;gid;kodinspire;obiekt;nazwa;fop_id;gatunek;data_utwor;powierzchn;link
Point (20.13159424309952783 51.91016677361879061);206597;PL.ZIPOP.1393.PP.1015082.954;drzewo;;83829;Lipa drobnolistna - Tilia cordata;1997-09-02;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1015082.954
Point (20.13176107244316881 51.91020834166294406);206596;PL.ZIPOP.1393.PP.1015082.954;drzewo;;83829;Lipa drobnolistna - Tilia cordata;1997-09-02;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1015082.954
Point (20.13164940885417309 51.91027867085286829);206595;PL.ZIPOP.1393.PP.1015082.954;drzewo;;83829;Lipa drobnolistna - Tilia cordata;1997-09-02;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1015082.954
Point (20.13178300946625399 51.91027109019857022);206594;PL.ZIPOP.1393.PP.1015082.954;drzewo;;83829;Lipa drobnolistna - Tilia cordata;1997-09-02;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1015082.954
Point (20.13173082843197648 51.91045147625099077);206593;PL.ZIPOP.1393.PP.1015082.954;drzewo;;83829;Lipa drobnolistna - Tilia cordata;1997-09-02;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1015082.954
Point (20.13186404520234873 51.91042860903565526);206592;PL.ZIPOP.1393.PP.1015082.954;drzewo;;83829;Lipa drobnolistna - Tilia cordata;1997-09-02;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1015082.954
Point (20.13176130813662823 51.91050694727043435);206591;PL.ZIPOP.1393.PP.1015082.954;drzewo;;83829;Lipa drobnolistna - Tilia cordata;1997-09-02;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1015082.954
Point (20.13179024358037594 51.91055883544721894);206590;PL.ZIPOP.1393.PP.1015082.954;drzewo;;83829;Lipa drobnolistna - Tilia cordata;1997-09-02;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1015082.954
Point (20.13186140336185304 51.9106705787689009);206589;PL.ZIPOP.1393.PP.1015082.954;drzewo;;83829;Lipa drobnolistna - Tilia cordata;1997-09-02;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1015082.954
Point (20.13191634432046229 51.91077348382264489);206588;PL.ZIPOP.1393.PP.1015082.954;drzewo;;83829;Lipa drobnolistna - Tilia cordata;1997-09-02;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1015082.954
