wkt_geom;gid;kodinspire;obiekt;nazwa;fop_id;gatunek;data_utwor;powierzchn;link
Point (23.11273724165553745 52.16467498649937085);50299;PL.ZIPOP.1393.PP.0601072.256;drzewo;Aleja Lipowa im. Kajetana Sawczuka;80448;Lipa - Tilia sp.;1982-02-18;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0601072.256
Point (23.11284177516557392 52.16467232582264302);50300;PL.ZIPOP.1393.PP.0601072.256;drzewo;Aleja Lipowa im. Kajetana Sawczuka;80448;Lipa - Tilia sp.;1982-02-18;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0601072.256
Point (23.11243830616167827 52.16467696639166718);50297;PL.ZIPOP.1393.PP.0601072.256;drzewo;Aleja Lipowa im. Kajetana Sawczuka;80448;Lipa - Tilia sp.;1982-02-18;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0601072.256
Point (23.11263689187046921 52.1646785808800928);50298;PL.ZIPOP.1393.PP.0601072.256;drzewo;Aleja Lipowa im. Kajetana Sawczuka;80448;Lipa - Tilia sp.;1982-02-18;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0601072.256
Point (23.11223858800076059 52.16468052062673166);50295;PL.ZIPOP.1393.PP.0601072.256;drzewo;Aleja Lipowa im. Kajetana Sawczuka;80448;Lipa - Tilia sp.;1982-02-18;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0601072.256
Point (23.11233496623707495 52.16467670530214917);50296;PL.ZIPOP.1393.PP.0601072.256;drzewo;Aleja Lipowa im. Kajetana Sawczuka;80448;Lipa - Tilia sp.;1982-02-18;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0601072.256
Point (23.11202447333881338 52.16468664699692681);50293;PL.ZIPOP.1393.PP.0601072.256;drzewo;Aleja Lipowa im. Kajetana Sawczuka;80448;Lipa - Tilia sp.;1982-02-18;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0601072.256
Point (23.11213319068756533 52.16468492076617025);50294;PL.ZIPOP.1393.PP.0601072.256;drzewo;Aleja Lipowa im. Kajetana Sawczuka;80448;Lipa - Tilia sp.;1982-02-18;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0601072.256
Point (23.02714802856609566 52.1287703852712383);50307;PL.ZIPOP.1393.PP.0601082.101;drzewo;;80453;Dąb szypułkowy - Quercus robur;1984-05-09;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0601082.101
Point (23.02777921827370733 52.12876193279158343);50308;PL.ZIPOP.1393.PP.0601082.101;drzewo;;80453;Dąb szypułkowy - Quercus robur;1984-05-09;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0601082.101
Point (23.09010768717401518 52.20696166809565142);50305;PL.ZIPOP.1393.PP.0601072.35;drzewo;;80451;Dąb szypułkowy - Quercus robur;1996-12-31;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0601072.35
Point (23.13624736703924967 52.23459075074084268);50306;PL.ZIPOP.1393.PP.0601072.57;drzewo;;80452;Dąb szypułkowy - Quercus robur;1996-12-31;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0601072.57
Point (23.10772290473403245 52.22967654631311518);50303;PL.ZIPOP.1393.PP.0601072.267;drzewo;;80449;Dąb szypułkowy - Quercus robur;1988-01-04;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0601072.267
