wkt_geom,protected,denotation,ref:gid,ref:INSPIRE,natural,name,species:pl,species,url:crfop
Point (15.52764623237858821 51.93960294903689601),yes,natural_monument,58602,PL.ZIPOP.1393.PP.0862011.1126,stone,brak,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0862011.1126
Point (15.52761174687913481 51.93962910380919595),yes,natural_monument,58601,PL.ZIPOP.1393.PP.0862011.1126,stone,brak,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0862011.1126
Point (15.52762480205383966 51.93956002696451435),yes,natural_monument,58604,PL.ZIPOP.1393.PP.0862011.1126,stone,brak,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0862011.1126
Point (15.52760084916460492 51.93959117156284577),yes,natural_monument,58603,PL.ZIPOP.1393.PP.0862011.1126,stone,brak,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0862011.1126
Point (15.52744725217602095 51.93962523604573533),yes,natural_monument,58606,PL.ZIPOP.1393.PP.0862011.1126,stone,brak,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0862011.1126
Point (15.52756425753612213 51.93957677441486709),yes,natural_monument,58605,PL.ZIPOP.1393.PP.0862011.1126,stone,brak,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0862011.1126
Point (15.52738639250766539 51.9395763807598172),yes,natural_monument,58608,PL.ZIPOP.1393.PP.0862011.1126,stone,brak,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0862011.1126
Point (15.52742482965749993 51.93959515136661054),yes,natural_monument,58607,PL.ZIPOP.1393.PP.0862011.1126,stone,brak,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0862011.1126
Point (15.50132542042097761 51.93725022711618777),yes,natural_monument,58610,PL.ZIPOP.1393.PP.0862011.1128,tree,brak,Miłorząb dwuklapowy,Ginkgo biloba,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0862011.1128
Point (15.48615328844384997 51.93104497152972954),yes,natural_monument,58609,PL.ZIPOP.1393.PP.0862011.1127,stone,brak,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0862011.1127
Point (15.80678524433684196 52.45243287326483994),yes,natural_monument,145233,PL.ZIPOP.1393.PP.0803042.1356,tree,Tilia,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0803042.1356
