wkt_geom,protected,denotation,ref:gid,ref:INSPIRE,natural,name,species:pl,species,url:crfop
Point (21.22505043984888218 49.60234445757134836),yes,natural_monument,68618,PL.ZIPOP.1393.PP.1205092.399,inne,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1205092.399
Point (19.77450555991182668 50.19398806020241466),yes,natural_monument,68740,PL.ZIPOP.1393.PP.1206042.816,jaskinia,Jaskinia Nietoperzowa,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206042.816
Point (19.79949961771449196 50.04180908860129051),yes,natural_monument,68812,PL.ZIPOP.1393.PP.1206072.456,jaskinia,Uroczysko Kryspinów,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206072.456
Point (20.90293470529343978 49.38775557100731817),yes,natural_monument,70047,PL.ZIPOP.1393.PP.1210113.1364,inne,im. prof. Henryka Świdzińskiego,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210113.1364
Point (20.74497368949491616 49.40638161102847903),yes,natural_monument,70063,PL.ZIPOP.1393.PP.1210133.1383,inne,Staw Wierchomla,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210133.1383
Point (20.74502409859599794 49.40637212169436765),yes,natural_monument,70062,PL.ZIPOP.1393.PP.1210133.1383,inne,Staw Wierchomla,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210133.1383
Point (20.93878076330965854 49.35706842251682502),yes,natural_monument,70039,PL.ZIPOP.1393.PP.1210113.1355,inne,Czarna Młaka,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210113.1355
Point (20.93889977147253489 49.35694890488462505),yes,natural_monument,70038,PL.ZIPOP.1393.PP.1210113.1355,inne,Czarna Młaka,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210113.1355
Point (20.69552728132125097 49.51024930803382063),yes,natural_monument,70133,PL.ZIPOP.1393.PP.1210163.1421,jar,Głęboki Jar,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210163.1421
Point (19.80676192679173298 50.17476082197768505),yes,natural_monument,69363,PL.ZIPOP.1393.PP.1206152.688,jaskinia,Wierzchowska Górna,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206152.688
Point (20.28933362610946745 49.59642993721905668),yes,natural_monument,69495,PL.ZIPOP.1393.PP.1207052.1151,inne,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1207052.1151
Point (20.27127590422774617 49.62585624930786565),yes,natural_monument,69494,PL.ZIPOP.1393.PP.1207052.1149,wodospad,Spad,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1207052.1149
Point (20.12359229567639574 49.61536598938132414),yes,natural_monument,69588,PL.ZIPOP.1393.PP.1207102.1190,inne,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1207102.1190
Point (20.27894444444472555 49.69950004117480091),yes,natural_monument,210463,PL.ZIPOP.1393.PP.1207032.3014,jaskinia,Grota Zbójnicka na Łopieniu,,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1207032.3014
Point (20.27497222222249462 49.6644444856436067),yes,natural_monument,210464,PL.ZIPOP.1393.PP.1207032.3015,inne,,,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1207032.3015
Point (20.88453175401466666 49.97034754341584772),yes,natural_monument,71187,PL.ZIPOP.1393.PP.1216092.2228,inne,Skała,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1216092.2228
Point (19.57215687888097833 49.81857975251834603),yes,natural_monument,71726,PL.ZIPOP.1393.PP.1218052.2698,jaskinia,Lisia,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1218052.2698
Point (19.57155069244885226 49.81881180982993129),yes,natural_monument,71725,PL.ZIPOP.1393.PP.1218052.2697,jaskinia,Mysiorowa Jama,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1218052.2697
Point (20.5038376433059959 49.43699989465856959),yes,natural_monument,70265,PL.ZIPOP.1393.PP.1211023.1613,inne,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1211023.1613
