wkt_geom,protected,denotation,ref:gid,ref:INSPIRE,natural,name,species:pl,species,url:crfop
Point (19.59202561814651844 50.29917052290994661),yes,natural_monument,70497,PL.ZIPOP.1393.PP.1212053.1887,rock,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1212053.1887
Point (19.59198206958685162 50.29974696249285415),yes,natural_monument,70496,PL.ZIPOP.1393.PP.1212053.1887,rock,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1212053.1887
Point (19.59211500176490262 50.29917510566787087),yes,natural_monument,70499,PL.ZIPOP.1393.PP.1212053.1887,rock,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1212053.1887
Point (19.59213017177643223 50.29912995656157193),yes,natural_monument,70498,PL.ZIPOP.1393.PP.1212053.1887,rock,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1212053.1887
Point (19.55366251226868712 50.30767902522487844),yes,natural_monument,70493,PL.ZIPOP.1393.PP.1212053.1886,rock,Baszta,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1212053.1886
Point (19.55290028758719956 50.30707296978854259),yes,natural_monument,70492,PL.ZIPOP.1393.PP.1212053.1885,rock,Rozłupana,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1212053.1885
Point (19.59210133568023693 50.29966952608663178),yes,natural_monument,70495,PL.ZIPOP.1393.PP.1212053.1887,rock,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1212053.1887
Point (19.59222913684271461 50.29931801649045298),yes,natural_monument,70494,PL.ZIPOP.1393.PP.1212053.1887,rock,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1212053.1887
Point (19.55449524332343358 50.30778697128057786),yes,natural_monument,70489,PL.ZIPOP.1393.PP.1212053.1882,rock,Brama,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1212053.1882
Point (19.55417591126150256 50.30743385764736786),yes,natural_monument,70488,PL.ZIPOP.1393.PP.1212053.1881,rock,Brama,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1212053.1881
Point (19.55399854944677074 50.30740258594079251),yes,natural_monument,70491,PL.ZIPOP.1393.PP.1212053.1884,rock,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1212053.1884
Point (19.55370245026758269 50.30731979063171622),yes,natural_monument,70490,PL.ZIPOP.1393.PP.1212053.1883,rock,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1212053.1883
Point (19.55249381347178783 50.30789024143051336),yes,natural_monument,70485,PL.ZIPOP.1393.PP.1212053.1877,rock,Sfinks,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1212053.1877
