wkt_geom,protected,denotation,ref:gid,ref:INSPIRE,natural,name,species:pl,species,url:crfop
Point (19.58521087171856934 49.56583925025506687),yes,natural_monument,70326,PL.ZIPOP.1393.PP.1211072.1543,spring,Źródło Wawrzyńca,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1211072.1543
Point (19.93838902675672742 49.57778475733934442),yes,natural_monument,70423,PL.ZIPOP.1393.PP.1211123.1584,spring,Pociesznej Wody,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1211123.1584
Point (19.93834305024525122 49.57781167305127923),yes,natural_monument,70422,PL.ZIPOP.1393.PP.1211123.1584,spring,Pociesznej Wody,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1211123.1584
Point (19.9385075844613695 49.57784111071109834),yes,natural_monument,70424,PL.ZIPOP.1393.PP.1211123.1584,spring,Pociesznej Wody,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1211123.1584
Point (19.93822433138944561 49.57773246690511115),yes,natural_monument,70419,PL.ZIPOP.1393.PP.1211123.1584,spring,Pociesznej Wody,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1211123.1584
Point (19.93847758050757335 49.57782785761382627),yes,natural_monument,70418,PL.ZIPOP.1393.PP.1211123.1584,spring,Pociesznej Wody,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1211123.1584
Point (19.93836567747649369 49.57784433084182751),yes,natural_monument,70421,PL.ZIPOP.1393.PP.1211123.1584,spring,Pociesznej Wody,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1211123.1584
Point (19.93836086938609853 49.57781728704024715),yes,natural_monument,70420,PL.ZIPOP.1393.PP.1211123.1584,spring,Pociesznej Wody,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1211123.1584
Point (19.5071492503590207 50.23913809774325046),yes,natural_monument,70513,PL.ZIPOP.1393.PP.1212053.1895,spring,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1212053.1895
Point (19.89811606373074326 50.29883821995412063),yes,natural_monument,70560,PL.ZIPOP.1393.PP.1212062.1898,spring,Jordan,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1212062.1898
Point (19.66978182082756277 50.4140673301354596),yes,natural_monument,70578,PL.ZIPOP.1393.PP.1212073.1918,spring,Przy Czarnym Lesie,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1212073.1918
Point (19.85442042690867837 50.3027631129594468),yes,natural_monument,70569,PL.ZIPOP.1393.PP.1212062.1908,spring,Strusi,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1212062.1908
Point (19.84557836592721003 50.3043835196842295),yes,natural_monument,70568,PL.ZIPOP.1393.PP.1212062.1907,spring,Aleksandry,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1212062.1907
Point (19.8628681431538574 50.30193215064855394),yes,natural_monument,70570,PL.ZIPOP.1393.PP.1212062.1909,spring,Hydrografów,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1212062.1909
Point (19.82872347131866064 50.01910661116032486),yes,natural_monument,72006,PL.ZIPOP.1393.PP.1261011.1090,spring,Źródło Świętojańskie,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1261011.1090
Point (19.96992540012844941 50.20269445812517972),yes,natural_monument,68704,PL.ZIPOP.1393.PP.1206032.547,spring,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206032.547
Point (19.78194861566164064 50.21754118723455207),yes,natural_monument,68741,PL.ZIPOP.1393.PP.1206042.817,spring,Źródło Janusza,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206042.817
Point (19.66620385124211978 50.08903256238774304),yes,natural_monument,68813,PL.ZIPOP.1393.PP.1206072.457,spring,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206072.457
Point (20.2038004979320398 50.39613158963977213),yes,natural_monument,69630,PL.ZIPOP.1393.PP.1208072.1219,spring,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1208072.1219
Point (20.30936404254589078 50.35907242230369008),yes,natural_monument,69629,PL.ZIPOP.1393.PP.1208072.1218,spring,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1208072.1218
Point (20.23859312573912206 50.32322245563141649),yes,natural_monument,69626,PL.ZIPOP.1393.PP.1208062.1215,spring,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1208062.1215
Point (20.18241069880029315 50.33422727256886731),yes,natural_monument,69625,PL.ZIPOP.1393.PP.1208062.1214,spring,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1208062.1214
Point (20.28738353292103724 50.38353244879085935),yes,natural_monument,69628,PL.ZIPOP.1393.PP.1208072.1217,spring,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1208072.1217
Point (20.20314885651811565 50.39658716741514866),yes,natural_monument,69627,PL.ZIPOP.1393.PP.1208072.1216,spring,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1208072.1216
Point (20.86700613002072302 49.38448273835886937),yes,natural_monument,70045,PL.ZIPOP.1393.PP.1210113.1362,spring,Za Cerkwią,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210113.1362
Point (20.83804562152447915 49.35677076273808694),yes,natural_monument,70044,PL.ZIPOP.1393.PP.1210113.1361,spring,Kazimierz,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210113.1361
Point (20.91513122247069489 49.39313604390255819),yes,natural_monument,70046,PL.ZIPOP.1393.PP.1210113.1363,spring,Iwony,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210113.1363
Point (20.80405601145839967 49.43506070903620042),yes,natural_monument,70080,PL.ZIPOP.1393.PP.1210133.1393,spring,Za Kapliczką,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210133.1393
Point (20.75776916889679669 49.45230552805153224),yes,natural_monument,70079,PL.ZIPOP.1393.PP.1210133.1391,spring,Stanisława,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210133.1391
