wkt_geom,protected,denotation,ref:gid,ref:INSPIRE,natural,name,species:pl,species,url:crfop
Point (20.0775267384510343 49.94228265865537253),yes,natural_monument,71850,PL.ZIPOP.1393.PP.1219053.2801,stone,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1219053.2801
Point (19.98089423200600834 50.01764979962663205),yes,natural_monument,72020,PL.ZIPOP.1393.PP.1261011.1097,stone,,,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1261011.1097
Point (20.98874844830938713 50.02397080308270461),yes,natural_monument,72432,PL.ZIPOP.1393.PP.1263011.2305,stone,Trojaczki,,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1263011.2305
Point (20.98877787107063853 50.0239967517870312),yes,natural_monument,72431,PL.ZIPOP.1393.PP.1263011.2305,stone,Trojaczki,,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1263011.2305
Point (20.98876735926273085 50.02395527284263466),yes,natural_monument,72433,PL.ZIPOP.1393.PP.1263011.2305,stone,Trojaczki,,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1263011.2305
Point (20.10816986153504971 50.14440201989400236),yes,natural_monument,68748,PL.ZIPOP.1393.PP.1206052.824,stone,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206052.824
Point (20.61849672131446454 50.00441537898530697),yes,natural_monument,67980,PL.ZIPOP.1393.PP.1202023.137,stone,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1202023.137
Point (19.86306211548430767 50.1413320911070457),yes,natural_monument,69365,PL.ZIPOP.1393.PP.1206152.690,stone,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206152.690
Point (19.95397283410050449 50.12645861405351866),yes,natural_monument,69456,PL.ZIPOP.1393.PP.1206172.794,stone,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206172.794
Point (20.06448927839091212 49.89185852181051217),yes,natural_monument,210384,PL.ZIPOP.1393.PP.1209013.3003,stone,,,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1209013.3003
Point (21.05800549722376402 49.97165948739341701),yes,natural_monument,71159,PL.ZIPOP.1393.PP.1216082.2210,stone,Pomnik Niepodległości Polski,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1216082.2210
Point (21.13012667292089475 50.03306162481573693),yes,natural_monument,71160,PL.ZIPOP.1393.PP.1216082.2211,stone,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1216082.2211
Point (21.08374389682033367 50.07877459673400011),yes,natural_monument,71114,PL.ZIPOP.1393.PP.1216032.2175,stone,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1216032.2175
Point (21.06993736479988755 49.84982345406056226),yes,natural_monument,71231,PL.ZIPOP.1393.PP.1216103.2112,stone,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1216103.2112
