wkt_geom,protected,denotation,ref:gid,ref:INSPIRE,natural,name,species:pl,species,url:crfop
Point (20.95658388845899367 51.62196729321022559),yes,natural_monument,72729,PL.ZIPOP.1393.PP.1401013.26,tree,,Klon pospolity,Acer platanoides,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1401013.26
Point (20.9559294954586619 51.59251646099373545),yes,natural_monument,72730,PL.ZIPOP.1393.PP.1401013.27,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1401013.27
Point (20.97352396831674426 51.62367280825017701),yes,natural_monument,72731,PL.ZIPOP.1393.PP.1401013.28,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1401013.28
Point (20.95575998785864513 51.58801596940936918),yes,natural_monument,72732,PL.ZIPOP.1393.PP.1401013.29,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1401013.29
Point (20.95658393873562275 51.62196846177895537),yes,natural_monument,72733,PL.ZIPOP.1393.PP.1401013.30,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1401013.30
Point (20.95658437970263677 51.62196863433679539),yes,natural_monument,72734,PL.ZIPOP.1393.PP.1401013.31,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1401013.31
Point (20.95658568326652116 51.6219687025607783),yes,natural_monument,72735,PL.ZIPOP.1393.PP.1401013.32,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1401013.32
Point (20.9565848400068333 51.62196925634413702),yes,natural_monument,72736,PL.ZIPOP.1393.PP.1401013.33,tree,,Jesion wyniosły,Fraxinus excelsior,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1401013.33
Point (20.95658369245594344 51.62196945538252635),yes,natural_monument,72737,PL.ZIPOP.1393.PP.1401013.35,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1401013.35
Point (20.95658139735414949 51.62196985345926947),yes,natural_monument,72738,PL.ZIPOP.1393.PP.1401013.36,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1401013.36
Point (20.95658286984914653 51.62196713028168205),yes,natural_monument,72739,PL.ZIPOP.1393.PP.1401013.37,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1401013.37
Point (20.95658456665513114 51.62196962071839579),yes,natural_monument,72740,PL.ZIPOP.1393.PP.1401013.38,tree,,Olsza czarna,Alnus glutinosa,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1401013.38
Point (20.92843077265418827 51.59915964922677034),yes,natural_monument,72741,PL.ZIPOP.1393.PP.1401013.40,tree,,Klon jawor,Acer pseudoplatanus,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1401013.40
Point (20.95658308387361757 51.62196874589259465),yes,natural_monument,72743,PL.ZIPOP.1393.PP.1401013.60,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1401013.60
Point (20.95658354031036197 51.62196927801004875),yes,natural_monument,72744,PL.ZIPOP.1393.PP.1401013.61,tree,,Jesion wyniosły,Fraxinus excelsior,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1401013.61
Point (20.95658232701316592 51.62196794892009422),yes,natural_monument,72745,PL.ZIPOP.1393.PP.1401013.62,tree,,Jesion wyniosły,Fraxinus excelsior,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1401013.62
Point (20.95658231927830428 51.62196776914026941),yes,natural_monument,72746,PL.ZIPOP.1393.PP.1401013.63,tree,,Jesion wyniosły,Fraxinus excelsior,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1401013.63
Point (20.95658208460088545 51.62196903241354562),yes,natural_monument,72747,PL.ZIPOP.1393.PP.1401013.64,tree,,Jesion wyniosły,Fraxinus excelsior,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1401013.64
Point (20.95658336496018848 51.62196856129814648),yes,natural_monument,72748,PL.ZIPOP.1393.PP.1401013.65,tree,,Jesion wyniosły,Fraxinus excelsior,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1401013.65
Point (20.89140661764947637 51.58444899365814251),yes,natural_monument,72751,PL.ZIPOP.1393.PP.1401032.23,tree,,Buk pospolity,Fagus sylvatica,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1401032.23
