ref:gid,ref:inspire,natural,name,species:pl,species,url:crfop,leaf_type,protected,denotation
88074.0,PL.ZIPOP.1393.PP.1601043.424,tree,,Wiąz górski , Ulmus glabra,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1601043.424,broadleaved,yes,natural_monument
88075.0,PL.ZIPOP.1393.PP.1601043.425,tree,,Lipa drobnolistna , Tilia cordata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1601043.425,broadleaved,yes,natural_monument
88072.0,PL.ZIPOP.1393.PP.1601043.422,tree,,Dąb szypułkowy , Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1601043.422,broadleaved,yes,natural_monument
88073.0,PL.ZIPOP.1393.PP.1601043.423,tree,,Klon pospolity, Acer platanoides,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1601043.423,broadleaved,yes,natural_monument
88070.0,PL.ZIPOP.1393.PP.1601043.420,tree,,Klon srebrzysty , Acer saccharinum,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1601043.420,broadleaved,yes,natural_monument
88071.0,PL.ZIPOP.1393.PP.1601043.421,tree,,Dąb szypułkowy , Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1601043.421,broadleaved,yes,natural_monument
88068.0,PL.ZIPOP.1393.PP.1601043.418,tree,,Klon srebrzysty , Acer saccharinum,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1601043.418,broadleaved,yes,natural_monument
88069.0,PL.ZIPOP.1393.PP.1601043.419,tree,,Klon srebrzysty , Acer saccharinum,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1601043.419,broadleaved,yes,natural_monument
88066.0,PL.ZIPOP.1393.PP.1601043.416,tree,,Cis pospolity , Taxus baccata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1601043.416,needleleaved,yes,natural_monument
88067.0,PL.ZIPOP.1393.PP.1601043.417,tree,,Dąb szypułkowy , Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1601043.417,broadleaved,yes,natural_monument
88064.0,PL.ZIPOP.1393.PP.1601043.416,tree,,Cis pospolity , Taxus baccata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1601043.416,needleleaved,yes,natural_monument
88065.0,PL.ZIPOP.1393.PP.1601043.416,tree,,Cis pospolity , Taxus baccata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1601043.416,needleleaved,yes,natural_monument
88062.0,PL.ZIPOP.1393.PP.1601043.416,tree,,Cis pospolity , Taxus baccata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1601043.416,needleleaved,yes,natural_monument
88063.0,PL.ZIPOP.1393.PP.1601043.416,tree,,Cis pospolity , Taxus baccata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1601043.416,needleleaved,yes,natural_monument
88060.0,PL.ZIPOP.1393.PP.1601043.416,tree,,Cis pospolity , Taxus baccata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1601043.416,needleleaved,yes,natural_monument
88061.0,PL.ZIPOP.1393.PP.1601043.416,tree,,Cis pospolity , Taxus baccata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1601043.416,needleleaved,yes,natural_monument
88058.0,PL.ZIPOP.1393.PP.1601043.415,tree,,Dąb szypułkowy , Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1601043.415,broadleaved,yes,natural_monument
88059.0,PL.ZIPOP.1393.PP.1601043.416,tree,,Cis pospolity , Taxus baccata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1601043.416,needleleaved,yes,natural_monument
88056.0,PL.ZIPOP.1393.PP.1601043.415,tree,,Dąb szypułkowy , Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1601043.415,broadleaved,yes,natural_monument
88057.0,PL.ZIPOP.1393.PP.1601043.415,tree,,Dąb szypułkowy , Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1601043.415,broadleaved,yes,natural_monument
88054.0,PL.ZIPOP.1393.PP.1601043.415,tree,,Dąb szypułkowy , Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1601043.415,broadleaved,yes,natural_monument
88055.0,PL.ZIPOP.1393.PP.1601043.415,tree,,Dąb szypułkowy , Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1601043.415,broadleaved,yes,natural_monument
88052.0,PL.ZIPOP.1393.PP.1601043.415,tree,,Dąb szypułkowy , Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1601043.415,broadleaved,yes,natural_monument
88053.0,PL.ZIPOP.1393.PP.1601043.415,tree,,Dąb szypułkowy , Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1601043.415,broadleaved,yes,natural_monument
88050.0,PL.ZIPOP.1393.PP.1601043.415,tree,,Dąb szypułkowy , Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1601043.415,broadleaved,yes,natural_monument
88051.0,PL.ZIPOP.1393.PP.1601043.415,tree,,Dąb szypułkowy , Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1601043.415,broadleaved,yes,natural_monument
88048.0,PL.ZIPOP.1393.PP.1601043.415,tree,,Dąb szypułkowy , Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1601043.415,broadleaved,yes,natural_monument
88049.0,PL.ZIPOP.1393.PP.1601043.415,tree,,Dąb szypułkowy , Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1601043.415,broadleaved,yes,natural_monument
88046.0,PL.ZIPOP.1393.PP.1601043.414,tree,,Dąb szypułkowy , Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1601043.414,broadleaved,yes,natural_monument
88047.0,PL.ZIPOP.1393.PP.1601043.415,tree,,Dąb szypułkowy , Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1601043.415,broadleaved,yes,natural_monument
88044.0,PL.ZIPOP.1393.PP.1601043.412,tree,,Dąb szypułkowy , Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1601043.412,broadleaved,yes,natural_monument
88045.0,PL.ZIPOP.1393.PP.1601043.413,tree,,Dąb szypułkowy , Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1601043.413,broadleaved,yes,natural_monument
88042.0,PL.ZIPOP.1393.PP.1601043.410,tree,,Dąb szypułkowy , Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1601043.410,broadleaved,yes,natural_monument
