wkt_geom,protected,denotation,ref:gid,ref:INSPIRE,natural,name,species:pl,species,url:crfop
Point (18.56365784805130303 54.39670387957595921),yes,natural_monument,107851,PL.ZIPOP.1393.PP.2261011.6368,tree,,Lipa drobnolistna,Tilia cordata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2261011.6368
Point (18.56376271471971151 54.3967092029810928),yes,natural_monument,107850,PL.ZIPOP.1393.PP.2261011.6368,tree,,Lipa drobnolistna,Tilia cordata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2261011.6368
Point (18.56381410991762593 54.39671532208979698),yes,natural_monument,107849,PL.ZIPOP.1393.PP.2261011.6368,tree,,Lipa drobnolistna,Tilia cordata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2261011.6368
Point (18.56386874624514149 54.39672091347532046),yes,natural_monument,107848,PL.ZIPOP.1393.PP.2261011.6368,tree,,Lipa drobnolistna,Tilia cordata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2261011.6368
Point (18.56391851157690098 54.39672091338314175),yes,natural_monument,107847,PL.ZIPOP.1393.PP.2261011.6368,tree,,Lipa drobnolistna,Tilia cordata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2261011.6368
Point (18.56396284931391705 54.39672422001213903),yes,natural_monument,107846,PL.ZIPOP.1393.PP.2261011.6368,tree,,Lipa drobnolistna,Tilia cordata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2261011.6368
Point (18.56402301776504871 54.39673117981730854),yes,natural_monument,107845,PL.ZIPOP.1393.PP.2261011.6368,tree,,Lipa drobnolistna,Tilia cordata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2261011.6368
Point (18.56407676786747274 54.39673317186789347),yes,natural_monument,107844,PL.ZIPOP.1393.PP.2261011.6368,tree,,Lipa drobnolistna,Tilia cordata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2261011.6368
Point (18.56423779935470719 54.39674526035676649),yes,natural_monument,107843,PL.ZIPOP.1393.PP.2261011.6368,tree,,Lipa drobnolistna,Tilia cordata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2261011.6368
Point (18.56429382809434614 54.3967503171677933),yes,natural_monument,107842,PL.ZIPOP.1393.PP.2261011.6368,tree,,Lipa drobnolistna,Tilia cordata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2261011.6368
