wkt_geom,protected,denotation,ref:gid,ref:INSPIRE,natural,name,species:pl,species,url:crfop
Point (18.44257075122282075 50.3546379009505074),yes,natural_monument,109761,PL.ZIPOP.1393.PP.2405052.540,tree,,Dąb czerwony,Quercus rubra,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2405052.540
Point (18.44218072227469563 50.35480291187266744),yes,natural_monument,109760,PL.ZIPOP.1393.PP.2405052.540,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2405052.540
Point (18.44175292497835983 50.35503476248661059),yes,natural_monument,109759,PL.ZIPOP.1393.PP.2405052.540,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2405052.540
Point (18.40490104346245204 50.37725176412246242),yes,natural_monument,109758,PL.ZIPOP.1393.PP.2405052.539,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2405052.539
Point (18.40490085215432359 50.37724456613865698),yes,natural_monument,109757,PL.ZIPOP.1393.PP.2405052.539,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2405052.539
Point (18.40491627661354812 50.37719237680250473),yes,natural_monument,109756,PL.ZIPOP.1393.PP.2405052.539,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2405052.539
Point (18.40529667262732971 50.37550500505746243),yes,natural_monument,109752,PL.ZIPOP.1393.PP.2405052.535,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2405052.535
Point (18.61073556345445112 50.23874295356652198),yes,natural_monument,109750,PL.ZIPOP.1393.PP.2405042.1199,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2405042.1199
Point (18.50421279518042184 50.2033571567192709),yes,natural_monument,109749,PL.ZIPOP.1393.PP.2405042.1198,tree,,Lipa drobnolistna,Tilia cordata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2405042.1198
Point (18.6167697174842246 50.24720398199394822),yes,natural_monument,109748,PL.ZIPOP.1393.PP.2405042.1197,tree,,Lipa drobnolistna,Tilia cordata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2405042.1197
Point (18.61693436131668022 50.24710709372103423),yes,natural_monument,109747,PL.ZIPOP.1393.PP.2405042.1196,tree,,Lipa drobnolistna,Tilia cordata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2405042.1196
Point (18.7555021984583199 50.25616784480315857),yes,natural_monument,109746,PL.ZIPOP.1393.PP.2405032.75,tree,Lipa krymska Witosław,Lipa krymska,Tilia xeuchlora,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2405032.75
Point (18.772878806209647 50.22446823671690197),yes,natural_monument,109745,PL.ZIPOP.1393.PP.2405032.74,tree,,Topola kanadyjska,Populus scanadensis,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2405032.74
Point (18.76114235816774212 50.24547244453633255),yes,natural_monument,109744,PL.ZIPOP.1393.PP.2405032.73,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2405032.73
Point (18.75597937989954289 50.25008019155693972),yes,natural_monument,109743,PL.ZIPOP.1393.PP.2405032.72,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2405032.72
Point (18.75742557028316071 50.24210756389902599),yes,natural_monument,109742,PL.ZIPOP.1393.PP.2405032.71,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2405032.71
Point (18.63424459328346572 50.39901141107984017),yes,natural_monument,109739,PL.ZIPOP.1393.PP.2405021.924,tree,,Platan klonolistny,Platanus xacerifolia,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2405021.924
Point (18.6292038863430669 50.40320610893096642),yes,natural_monument,109738,PL.ZIPOP.1393.PP.2405021.923,tree,,Klon jesionolistny,Acer negundo,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2405021.923
Point (18.63137553058799512 50.39951693630106888),yes,natural_monument,109736,PL.ZIPOP.1393.PP.2405021.921,tree,Wiktor,Jesion wyniosły,Fraxinus excelsior,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2405021.921
Point (18.62462498629637153 50.39997124803101514),yes,natural_monument,109734,PL.ZIPOP.1393.PP.2405021.919,tree,Jadwiga,Kasztanowiec zwyczajny,Aesculus hippocastanum,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2405021.919
Point (18.58060328923242466 50.37227893022667047),yes,natural_monument,109733,PL.ZIPOP.1393.PP.2405021.918,tree,Witold,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2405021.918
Point (18.58030462751960954 50.37258507382537687),yes,natural_monument,109732,PL.ZIPOP.1393.PP.2405021.917,tree,Cyprian,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2405021.917
Point (18.58062854986676982 50.37317927283830699),yes,natural_monument,109731,PL.ZIPOP.1393.PP.2405021.916,tree,Lutozat,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2405021.916
Point (18.58057121414685753 50.37338022151850225),yes,natural_monument,109730,PL.ZIPOP.1393.PP.2405021.915,tree,Lonek,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2405021.915
Point (18.62634875124289735 50.39479347355484862),yes,natural_monument,109729,PL.ZIPOP.1393.PP.2405021.914,tree,Wojciech,Jesion wyniosły,Fraxinus excelsior,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2405021.914
Point (18.62554359794813408 50.39554683321568262),yes,natural_monument,109728,PL.ZIPOP.1393.PP.2405021.913,tree,Rafał,Dąb czerwony,Quercus rubra,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2405021.913
Point (18.62588517766138096 50.39490092735569249),yes,natural_monument,109727,PL.ZIPOP.1393.PP.2405021.913,tree,Rafał,Dąb czerwony,Quercus rubra,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2405021.913
Point (18.62587820978259856 50.39498160063253351),yes,natural_monument,109726,PL.ZIPOP.1393.PP.2405021.912,tree,Franciszek,Dąb czerwony,Quercus rubra,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2405021.912
Point (18.62726496398277121 50.39625946038790971),yes,natural_monument,109725,PL.ZIPOP.1393.PP.2405021.911,tree,Św. Jan Nepomucen,Jesion wyniosły,Fraxinus excelsior,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2405021.911
