wkt_geom,protected,denotation,ref:gid,ref:INSPIRE,natural,name,species:pl,species,url:crfop
Point (21.30882028968788333 50.7183045841972131),yes,natural_monument,112491,PL.ZIPOP.1393.PP.2606022.499,tree,,Lipa drobnolistna,Tilia cordata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2606022.499
Point (21.30889270170156991 50.71821794717414633),yes,natural_monument,112490,PL.ZIPOP.1393.PP.2606022.499,tree,,Lipa drobnolistna,Tilia cordata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2606022.499
Point (21.30899445127909431 50.71814287487593731),yes,natural_monument,112489,PL.ZIPOP.1393.PP.2606022.499,tree,,Lipa drobnolistna,Tilia cordata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2606022.499
Point (21.30905827375603323 50.71807467200960673),yes,natural_monument,112488,PL.ZIPOP.1393.PP.2606022.499,tree,,Lipa drobnolistna,Tilia cordata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2606022.499
Point (21.3005878727712421 50.73909845591724377),yes,natural_monument,112487,PL.ZIPOP.1393.PP.2606022.498,tree,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2606022.498
Point (21.30049452120120179 50.73910884570410218),yes,natural_monument,112486,PL.ZIPOP.1393.PP.2606022.498,tree,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2606022.498
Point (21.30036325711473921 50.73913833765720227),yes,natural_monument,112485,PL.ZIPOP.1393.PP.2606022.498,tree,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2606022.498
Point (21.29982818581616399 50.73916770079321026),yes,natural_monument,112484,PL.ZIPOP.1393.PP.2606022.498,tree,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2606022.498
Point (21.29963073228676507 50.73919768822134557),yes,natural_monument,112483,PL.ZIPOP.1393.PP.2606022.498,tree,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2606022.498
Point (21.2989386513110226 50.73925200783034484),yes,natural_monument,112482,PL.ZIPOP.1393.PP.2606022.498,tree,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2606022.498
