wkt_geom,protected,denotation,ref:gid,ref:INSPIRE,natural,name,species:pl,species,url:crfop
Point (20.81539998605076747 54.2492499959274781),yes,natural_monument,113576,PL.ZIPOP.1393.PP.2801011.63,tree,,Jesion wyniosły,Fraxinus excelsior,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2801011.63
Point (20.48534003887271382 54.29844998223656205),yes,natural_monument,113577,PL.ZIPOP.1393.PP.2801021.630,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2801021.630
Point (20.48596997515085505 54.29838998370934888),yes,natural_monument,113578,PL.ZIPOP.1393.PP.2801021.631,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2801021.631
Point (20.48913006515625312 54.28457001012821337),yes,natural_monument,113579,PL.ZIPOP.1393.PP.2801021.661,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2801021.661
Point (20.48963004269554844 54.28453002779728109),yes,natural_monument,113580,PL.ZIPOP.1393.PP.2801021.662,tree,,Jesion wyniosły,Fraxinus excelsior,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2801021.662
Point (20.48813993037907721 54.28511001448327278),yes,natural_monument,113581,PL.ZIPOP.1393.PP.2801021.663,tree,,Jesion wyniosły,Fraxinus excelsior,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2801021.663
Point (20.48824004015883915 54.28494999521748809),yes,natural_monument,113582,PL.ZIPOP.1393.PP.2801021.664,tree,,Klon pospolity,Acer platanoides,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2801021.664
Point (20.48853993043686827 54.28534001605694215),yes,natural_monument,113583,PL.ZIPOP.1393.PP.2801021.664,tree,,Klon pospolity,Acer platanoides,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2801021.664
Point (20.68466003989185609 54.33066002729980681),yes,natural_monument,113584,PL.ZIPOP.1393.PP.2801032.101,tree,,Lipa drobnolistna,Tilia cordata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2801032.101
Point (20.7232699962775655 54.21231003341706156),yes,natural_monument,113585,PL.ZIPOP.1393.PP.2801032.102,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2801032.102
Point (20.72342993284244272 54.21243003094756574),yes,natural_monument,113586,PL.ZIPOP.1393.PP.2801032.103,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2801032.103
Point (20.7238699467828269 54.21263000214226224),yes,natural_monument,113587,PL.ZIPOP.1393.PP.2801032.104,tree,,Lipa drobnolistna,Tilia cordata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2801032.104
Point (20.72438995081774138 54.2117599975515887),yes,natural_monument,113588,PL.ZIPOP.1393.PP.2801032.105,tree,,Lipa drobnolistna,Tilia cordata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2801032.105
Point (20.72384002265003389 54.21192998623049419),yes,natural_monument,113589,PL.ZIPOP.1393.PP.2801032.106,tree,,Lipa drobnolistna,Tilia cordata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2801032.106
Point (20.72354001071649421 54.21247997787261852),yes,natural_monument,113590,PL.ZIPOP.1393.PP.2801032.109,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2801032.109
Point (20.72357993830399536 54.21198001426832036),yes,natural_monument,113591,PL.ZIPOP.1393.PP.2801032.110,tree,,Modrzew europejski,Larix decidua,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2801032.110
Point (20.72468996942345854 54.21190999823098622),yes,natural_monument,113592,PL.ZIPOP.1393.PP.2801032.111,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2801032.111
Point (20.72385001276954952 54.21161001273686963),yes,natural_monument,113593,PL.ZIPOP.1393.PP.2801032.112,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2801032.112
Point (20.72554999272955811 54.21345997001151318),yes,natural_monument,113594,PL.ZIPOP.1393.PP.2801032.113,tree,,Dąb szypułkowy,Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2801032.113
