wkt_geom,protected,denotation,ref:gid,ref:INSPIRE,natural,name,species:pl,species,url:crfop
Point (20.322300011159939 54.26979002708375077),yes,natural_monument,113714,PL.ZIPOP.1393.PP.2801052.616,shrub,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2801052.616
Point (19.85749929513420042 53.35095539484787253),yes,natural_monument,116396,PL.ZIPOP.1393.PP.2803043.948,shrub,,Jałowiec pospolity,Juniperus communis,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2803043.948
Point (19.90481448944976961 53.28850268903593701),yes,natural_monument,116766,PL.ZIPOP.1393.PP.2803043.961,shrub,,Jałowiec pospolity,Juniperus communis,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2803043.961
Point (19.75286052608242926 53.18230349540134938),yes,natural_monument,116770,PL.ZIPOP.1393.PP.2803043.965,shrub,,Żywotnik zachodni,Thuja occidentalis,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2803043.965
Point (19.84185892177485044 53.23845956458465878),yes,natural_monument,116771,PL.ZIPOP.1393.PP.2803043.966,shrub,,Żywotnik olbrzymi,Thuja plicata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2803043.966
Point (19.84183999111103702 53.23844198395851635),yes,natural_monument,116772,PL.ZIPOP.1393.PP.2803043.966,shrub,,Żywotnik olbrzymi,Thuja plicata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2803043.966
Point (19.74155688437917888 53.25833985258363157),yes,natural_monument,116775,PL.ZIPOP.1393.PP.2803043.971,shrub,,Żywotnik wschodni,Thuja orientalis,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2803043.971
Point (19.72061229671802352 54.1844537776554489),yes,natural_monument,117435,PL.ZIPOP.1393.PP.2804063.1152,shrub,,Żywotnik zachodni,Thuja occidentalis,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2804063.1152
Point (22.28369716570845327 53.799805598138569),yes,natural_monument,118259,PL.ZIPOP.1393.PP.2805022.433,shrub,,Żywotnik olbrzymi,Thuja plicata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2805022.433
Point (21.6227160613468854 53.93232423891461025),yes,natural_monument,118473,PL.ZIPOP.1393.PP.2806083.1739,shrub,,Żywotnik olbrzymi,Thuja plicata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2806083.1739
