wkt_geom,protected,denotation,ref:gid,ref:INSPIRE,natural,name,species:pl,species,url:crfop
Point (20.83816997044850439 54.17922999408146012),yes,natural_monument,113619,PL.ZIPOP.1393.PP.2801032.81,stone,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2801032.81
Point (20.91066992623469645 54.08760002755330731),yes,natural_monument,113672,PL.ZIPOP.1393.PP.2801043.164,stone,Diabelski Kamień,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2801043.164
Point (20.29197005194419035 54.32357998541952071),yes,natural_monument,113675,PL.ZIPOP.1393.PP.2801052.595,stone,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2801052.595
Point (20.3138799900314595 54.34248995899883283),yes,natural_monument,113676,PL.ZIPOP.1393.PP.2801052.596,stone,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2801052.596
Point (19.81974900673309392 54.37943299723989554),yes,natural_monument,113813,PL.ZIPOP.1393.PP.2802011.2449,stone,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2802011.2449
Point (20.00798003554663751 54.41985001428707847),yes,natural_monument,113815,PL.ZIPOP.1393.PP.2802022.168,stone,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2802022.168
Point (19.85121006386154718 54.24768997219479871),yes,natural_monument,113935,PL.ZIPOP.1393.PP.2802062.1478,stone,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2802062.1478
Point (19.74092672897638678 53.25123886699905995),yes,natural_monument,116773,PL.ZIPOP.1393.PP.2803043.967,stone,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2803043.967
Point (20.05112380622855994 53.2185093749005631),yes,natural_monument,116834,PL.ZIPOP.1393.PP.2803052.1499,stone,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2803052.1499
Point (19.88170117251257807 53.41806956755537072),yes,natural_monument,117189,PL.ZIPOP.1393.PP.2803062.1642,stone,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2803062.1642
Point (19.8774594993776148 53.42087792367124166),yes,natural_monument,117190,PL.ZIPOP.1393.PP.2803062.1644,stone,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2803062.1644
Point (19.60037370873720874 54.17851618466065133),yes,natural_monument,117408,PL.ZIPOP.1393.PP.2804063.1122,stone,,,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2804063.1122
Point (19.60047126971295484 53.97806085695471268),yes,natural_monument,117652,PL.ZIPOP.1393.PP.2804082.1646,stone,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2804082.1646
Point (19.57775621023247226 54.34048771213903706),yes,natural_monument,117746,PL.ZIPOP.1393.PP.2804093.1942,stone,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2804093.1942
Point (19.522429886322751 54.26844233671648254),yes,natural_monument,117750,PL.ZIPOP.1393.PP.2804093.1946,stone,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2804093.1946
Point (19.51256833928964696 54.28227796170438779),yes,natural_monument,117751,PL.ZIPOP.1393.PP.2804093.1947,stone,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2804093.1947
Point (19.51253378076608769 54.26550460240414964),yes,natural_monument,117752,PL.ZIPOP.1393.PP.2804093.1948,stone,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2804093.1948
Point (19.5264648389709663 54.27638760957631092),yes,natural_monument,118004,PL.ZIPOP.1393.PP.2804093.2083,stone,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2804093.2083
Point (19.50341243194679564 54.2931511798546893),yes,natural_monument,118039,PL.ZIPOP.1393.PP.2804093.2113,stone,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2804093.2113
Point (19.50340855784655858 54.29317376164004116),yes,natural_monument,118040,PL.ZIPOP.1393.PP.2804093.2113,stone,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2804093.2113
Point (19.50343912553318759 54.29317246532140473),yes,natural_monument,118041,PL.ZIPOP.1393.PP.2804093.2113,stone,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2804093.2113
Point (19.503448963452648 54.29314743126545295),yes,natural_monument,118042,PL.ZIPOP.1393.PP.2804093.2113,stone,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2804093.2113
Point (19.50346100203509536 54.29313902005098669),yes,natural_monument,118043,PL.ZIPOP.1393.PP.2804093.2113,stone,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2804093.2113
Point (19.50347726338823051 54.2931366146999963),yes,natural_monument,118044,PL.ZIPOP.1393.PP.2804093.2113,stone,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2804093.2113
Point (19.50347295398298186 54.2931235068714102),yes,natural_monument,118045,PL.ZIPOP.1393.PP.2804093.2113,stone,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2804093.2113
Point (19.50349540631032852 54.29312467178994694),yes,natural_monument,118046,PL.ZIPOP.1393.PP.2804093.2113,stone,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2804093.2113
Point (19.50350743062019276 54.2931150918932488),yes,natural_monument,118047,PL.ZIPOP.1393.PP.2804093.2113,stone,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2804093.2113
Point (19.50351748562607312 54.29310785769046532),yes,natural_monument,118048,PL.ZIPOP.1393.PP.2804093.2113,stone,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2804093.2113
Point (19.50781150231525274 54.29021287323595146),yes,natural_monument,118071,PL.ZIPOP.1393.PP.2804093.2125,stone,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2804093.2125
Point (19.50779220629017274 54.29013087311206931),yes,natural_monument,118072,PL.ZIPOP.1393.PP.2804093.2125,stone,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2804093.2125
Point (19.50779448263563154 54.29015351906370768),yes,natural_monument,118073,PL.ZIPOP.1393.PP.2804093.2125,stone,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2804093.2125
Point (19.50777847152458833 54.29017615210376846),yes,natural_monument,118074,PL.ZIPOP.1393.PP.2804093.2125,stone,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2804093.2125
Point (19.50777554862402496 54.29020088771137154),yes,natural_monument,118075,PL.ZIPOP.1393.PP.2804093.2125,stone,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2804093.2125
Point (19.50779180327826978 54.29026051481537252),yes,natural_monument,118076,PL.ZIPOP.1393.PP.2804093.2125,stone,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.2804093.2125
