wkt_geom;gid;kodinspire;obiekt;nazwa;fop_id;gatunek;data_utwor;powierzchn;link
Point (16.13099741662884057 53.58113401078657745);146591;PL.ZIPOP.1393.PP.3203013.179;drzewo;;104215;Lipa drobnolistna - Tilia cordata;1992-10-15;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.3203013.179
Point (16.13083614718573244 53.58112951076949315);146590;PL.ZIPOP.1393.PP.3203013.179;drzewo;;104215;Lipa drobnolistna - Tilia cordata;1992-10-15;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.3203013.179
Point (16.13074289103669656 53.58112727256266794);146589;PL.ZIPOP.1393.PP.3203013.179;drzewo;;104215;Lipa drobnolistna - Tilia cordata;1992-10-15;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.3203013.179
Point (16.13064166184063453 53.58117800084477267);146588;PL.ZIPOP.1393.PP.3203013.179;drzewo;;104215;Lipa drobnolistna - Tilia cordata;1992-10-15;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.3203013.179
Point (16.13056376654612123 53.58119888745871862);146587;PL.ZIPOP.1393.PP.3203013.179;drzewo;;104215;Lipa drobnolistna - Tilia cordata;1992-10-15;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.3203013.179
Point (16.13046283316306884 53.58122740609583445);146586;PL.ZIPOP.1393.PP.3203013.179;drzewo;;104215;Lipa drobnolistna - Tilia cordata;1992-10-15;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.3203013.179
Point (16.13034312668519377 53.58122516229985166);146585;PL.ZIPOP.1393.PP.3203013.179;drzewo;;104215;Lipa drobnolistna - Tilia cordata;1992-10-15;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.3203013.179
Point (16.12995070400122444 53.58120135048248756);146584;PL.ZIPOP.1393.PP.3203013.179;drzewo;;104215;Lipa drobnolistna - Tilia cordata;1992-10-15;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.3203013.179
Point (16.12977953119666807 53.58122476430477121);146583;PL.ZIPOP.1393.PP.3203013.179;drzewo;;104215;Lipa drobnolistna - Tilia cordata;1992-10-15;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.3203013.179
Point (16.12973397675308007 53.58121449610902687);146582;PL.ZIPOP.1393.PP.3203013.179;drzewo;;104215;Lipa drobnolistna - Tilia cordata;1992-10-15;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.3203013.179
